date,datetime,event_name
01.03.2025,2025-03-01 15:30:00,FALLING IN LOVE Grand Show 15:30:00
01.03.2025,2025-03-01 19:30:00,FALLING IN LOVE Grand Show 19:30:00
02.03.2025,2025-03-02 15:30:00,FALLING IN LOVE Grand Show 15:30:00
04.03.2025,2025-03-04 19:30:00,FALLING IN LOVE Grand Show 19:30:00
06.03.2025,2025-03-06 19:30:00,FALLING IN LOVE Grand Show 19:30:00
07.03.2025,2025-03-07 19:30:00,FALLING IN LOVE Grand Show 19:30:00
08.03.2025,2025-03-08 15:30:00,FALLING IN LOVE Grand Show 15:30:00
08.03.2025,2025-03-08 19:30:00,FALLING IN LOVE Grand Show 19:30:00
09.03.2025,2025-03-09 15:30:00,FALLING IN LOVE Grand Show 15:30:00
11.03.2025,2025-03-11 19:30:00,FALLING IN LOVE Grand Show 19:30:00
13.03.2025,2025-03-13 19:30:00,FALLING IN LOVE Grand Show 19:30:00
14.03.2025,2025-03-14 19:30:00,FALLING IN LOVE Grand Show 19:30:00
15.03.2025,2025-03-15 15:30:00,FALLING IN LOVE Grand Show 15:30:00
15.03.2025,2025-03-15 19:30:00,FALLING IN LOVE Grand Show 19:30:00
16.03.2025,2025-03-16 15:30:00,FALLING IN LOVE Grand Show 15:30:00
18.03.2025,2025-03-18 19:30:00,FALLING IN LOVE Grand Show 19:30:00
20.03.2025,2025-03-20 19:30:00,FALLING IN LOVE Grand Show 19:30:00
21.03.2025,2025-03-21 19:30:00,FALLING IN LOVE Grand Show 19:30:00
22.03.2025,2025-03-22 15:30:00,FALLING IN LOVE Grand Show 15:30:00
22.03.2025,2025-03-22 19:30:00,FALLING IN LOVE Grand Show 19:30:00
23.03.2025,2025-03-23 15:30:00,FALLING IN LOVE Grand Show 15:30:00
25.03.2025,2025-03-25 19:30:00,FALLING IN LOVE Grand Show 19:30:00
27.03.2025,2025-03-27 19:30:00,FALLING IN LOVE Grand Show 19:30:00
28.03.2025,2025-03-28 19:30:00,FALLING IN LOVE Grand Show 19:30:00
29.03.2025,2025-03-29 15:30:00,FALLING IN LOVE Grand Show 15:30:00
29.03.2025,2025-03-29 19:30:00,FALLING IN LOVE Grand Show 19:30:00
30.03.2025,2025-03-30 15:30:00,FALLING IN LOVE Grand Show 15:30:00
01.04.2025,2025-04-01 19:30:00,FALLING IN LOVE Grand Show 19:30:00
03.04.2025,2025-04-03 19:30:00,FALLING IN LOVE Grand Show 19:30:00
04.04.2025,2025-04-04 19:30:00,FALLING IN LOVE Grand Show 19:30:00
05.04.2025,2025-04-05 15:30:00,FALLING IN LOVE Grand Show 15:30:00
05.04.2025,2025-04-05 19:30:00,FALLING IN LOVE Grand Show 19:30:00
06.04.2025,2025-04-06 15:30:00,FALLING IN LOVE Grand Show 15:30:00
08.04.2025,2025-04-08 19:30:00,FALLING IN LOVE Grand Show 19:30:00
10.04.2025,2025-04-10 19:30:00,FALLING IN LOVE Grand Show 19:30:00
11.04.2025,2025-04-11 19:30:00,FALLING IN LOVE Grand Show 19:30:00
12.04.2025,2025-04-12 15:30:00,FALLING IN LOVE Grand Show 15:30:00
